v8-version,6,7,288,46,-node.8,0
code-creation,Builtin,3,5093,0x2a12728be60,1396,RecordWrite
code-creation,Builtin,3,5126,0x2a12728c420,32,AdaptorWithExitFrame
code-creation,Builtin,3,5136,0x2a12728c480,32,AdaptorWithBuiltinExitFrame
code-creation,Builtin,3,5146,0x2a12728c4e0,243,ArgumentsAdaptorTrampoline
code-creation,Builtin,3,5155,0x2a12728c620,197,CallFunction_ReceiverIsNullOrUndefined
code-creation,Builtin,3,5165,0x2a12728c740,266,CallFunction_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,5175,0x2a12728c8a0,288,CallFunction_ReceiverIsAny
code-creation,Builtin,3,5184,0x2a12728ca00,139,CallBoundFunction
code-creation,Builtin,3,5192,0x2a12728cae0,121,Call_ReceiverIsNullOrUndefined
code-creation,Builtin,3,5202,0x2a12728cba0,121,Call_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,5211,0x2a12728cc60,121,Call_ReceiverIsAny
code-creation,Builtin,3,5220,0x2a12728cd20,1012,CallProxy
code-creation,Builtin,3,5228,0x2a12728d160,81,CallVarargs
code-creation,Builtin,3,5236,0x2a12728d200,1380,CallWithSpread
code-creation,Builtin,3,5245,0x2a12728d7c0,1364,CallWithArrayLike
code-creation,Builtin,3,5254,0x2a12728dd60,102,CallForwardVarargs
code-creation,Builtin,3,5262,0x2a12728de20,102,CallFunctionForwardVarargs
code-creation,Builtin,3,5271,0x2a12728dee0,27,ConstructFunction
code-creation,Builtin,3,5280,0x2a12728df40,139,ConstructBoundFunction
code-creation,Builtin,3,5293,0x2a12728e020,43,ConstructedNonConstructable
code-creation,Builtin,3,5302,0x2a12728e0a0,79,Construct
code-creation,Builtin,3,5310,0x2a12728e140,81,ConstructVarargs
code-creation,Builtin,3,5319,0x2a12728e1e0,1396,ConstructWithSpread
code-creation,Builtin,3,5328,0x2a12728e7a0,1444,ConstructWithArrayLike
code-creation,Builtin,3,5336,0x2a12728eda0,156,ConstructForwardVarargs
code-creation,Builtin,3,5345,0x2a12728ee80,156,ConstructFunctionForwardVarargs
code-creation,Builtin,3,5354,0x2a12728ef60,254,JSConstructStubGenericRestrictedReturn
code-creation,Builtin,3,5364,0x2a12728f0a0,273,JSConstructStubGenericUnrestrictedReturn
code-creation,Builtin,3,5373,0x2a12728f200,161,JSBuiltinsConstructStub
code-creation,Builtin,3,5382,0x2a12728f300,721,FastNewObject
code-creation,Builtin,3,5391,0x2a12728f620,355,FastNewClosure
code-creation,Builtin,3,5399,0x2a12728f7e0,251,FastNewFunctionContextEval
code-creation,Builtin,3,5407,0x2a12728f920,247,FastNewFunctionContextFunction
